feature,value,1,2,3,4,5,6
tokens,<pad>,1.0137017,-0.0029114992,-0.10635809,-0.7089713,-0.7145121,-0.8804936
tokens,<s>,0.72615117,0.3972845,-0.20750117,-0.31722394,-0.79480445,-0.81056076
tokens,_,1.0947465,-0.078054905,-0.41324484,-0.10050165,-0.6001897,-0.7571739
tokens,_,0.41660044,-0.46050805,0.57288074,0.02477044,-0.966183,-1.2972747
tokens,_,1.0778387,-0.03033545,0.24988982,0.30985433,-0.3760558,-0.63633376
tokens,_,1.0934613,-0.4540986,-0.26388797,-0.6234936,-0.456591,-0.19529666
tokens,_,0.6927229,-0.5519169,-0.025141865,-0.9120723,-0.054026805,-1.3480014
tokens,_,1.3534186,0.12613082,0.26636592,-0.74856985,-0.34977075,-0.26107115
tokens,_,0.36464134,-0.14987035,0.26906416,-1.2442355,-0.76105785,-0.38189188
tokens,_,1.1047899,0.35403416,-0.97768795,0.2388776,0.23995538,0.2805558
tokens,_,0.31571797,-0.015611225,0.123877294,0.051059358,-0.06538665,-0.57231647
tokens,_,-0.18261425,-0.227773,0.54521483,-0.03017964,-0.32059678,-1.4618924
tokens,_,0.97032493,-1.6691278,1.1709231,-0.7794009,-0.79743415,-0.55343425
tokens,_,0.8339158,-1.1120846,0.24801768,-0.23402704,-0.14633444,-0.45334724
